id,policy,seed,success,steps,coverage,density,unique_visited,targets_found,efficiency,turns,collisions,revisits,max_cell_visits,avg_visits_per_cell,avg_info_gain,turn_rate,collision_rate,max_steps_without_new_info
38590703-7f0c-4b2d-895b-9f178efa2ebf,globalutilityfrontierexploration,14736,True,165,7.13,78.22,146,1,0.885,26,0,0,0,0,0,0,0,0
72f12927-cfc5-4e54-8786-4c66cecb84c9,frontier,14736,True,148,6.07,78.22,135,1,0.912,22,0,0,0,0,0,0,0,0
d584a9fd-7b13-4116-aa13-4956250834f0,globalutilityfrontierexploration,24708,True,172,7.26,77.14,166,1,0.965,35,0,0,0,0,0,0,0,0
359a895b-062f-480d-bf5c-9ed534345913,frontier,24708,True,296,13.67,77.14,293,1,0.99,55,0,0,0,0,0,0,0,0
91c198fc-93b6-44f7-abeb-9436b1a4d033,globalutilityfrontierexploration,8930,True,514,21.11,77.47,482,1,0.938,151,0,0,0,0,0,0,0,0
14d1ed56-c528-4925-af81-e4f8f66358db,frontier,8930,False,1000,32.37,77.47,846,0,0.846,255,0,0,0,0,0,0,0,0
11e287fd-2138-44e9-9c80-7806f4862b78,globalutilityfrontierexploration,35734,True,170,6.17,78.06,135,1,0.794,54,0,0,0,0,0,0,0,0
641b5cd2-e9dd-405b-a7c5-3c0f658758cf,frontier,35734,True,712,27.93,78.06,670,1,0.941,188,0,0,0,0,0,0,0,0
98c2d3d8-1133-497f-8159-c0d0d05c5148,globalutilityfrontierexploration,97489,True,228,9.77,77.45,217,1,0.952,59,0,0,0,0,0,0,0,0
a4c1a0c7-937a-4d2b-a3b9-20d2ef1afde8,frontier,97489,False,1000,34.62,77.45,879,0,0.879,239,0,0,0,0,0,0,0,0
e8826f03-a69b-4ddb-a2f0-7db3b20282e4,globalutilityfrontierexploration,85885,True,0,0.32,79.13,1,1,0,0,0,0,0,0,0,0,0,0
298213db-9af2-411d-adc6-7bdea214a704,frontier,85885,True,0,0.32,79.13,1,1,0,0,0,0,0,0,0,0,0,0
a4c1d181-14e2-4416-8d65-bc72d2b731fa,globalutilityfrontierexploration,45356,True,14,1.07,78.99,13,1,0.929,4,0,0,0,0,0,0,0,0
4d69c225-89d0-46a2-8d91-cbf29d7f9d49,frontier,45356,True,323,12.36,78.99,293,1,0.907,73,0,0,0,0,0,0,0,0
6a2f7280-0994-498a-bb03-5586f4216b60,globalutilityfrontierexploration,31698,True,270,10.61,78.1,252,1,0.933,63,0,0,0,0,0,0,0,0
c73b976d-5185-4480-bed2-8996c1b57cdf,frontier,31698,True,252,10.1,78.1,240,1,0.952,58,0,0,0,0,0,0,0,0
9e6c91bc-ceb9-4485-9aa1-9eda471db858,globalutilityfrontierexploration,77055,True,25,1.22,78.36,22,1,0.88,12,0,0,0,0,0,0,0,0
acd6b040-a4e7-4f86-ba26-f963a949e5cc,frontier,77055,True,481,17.68,78.36,438,1,0.911,103,0,0,0,0,0,0,0,0
53d8f440-1a9d-40d5-b224-e43f921f4afc,globalutilityfrontierexploration,93017,True,228,9.09,77.73,216,1,0.947,56,0,0,0,0,0,0,0,0
f4766753-399e-42dd-afd2-c4ce73c38728,frontier,93017,True,561,22.65,77.73,536,1,0.955,137,0,0,0,0,0,0,0,0
f85420a7-ae6b-4c5c-b791-74743520e65a,globalutilityfrontierexploration,42094,True,999,31.58,77.56,839,1,0.84,238,0,0,0,0,0,0,0,0
d848726f-4203-481c-905f-28cf236c1e78,frontier,42094,True,380,14.57,77.56,362,1,0.953,91,0,0,0,0,0,0,0,0
908c7f68-f25a-4bad-8251-76c3239a3103,globalutilityfrontierexploration,53327,True,803,27.86,78.6,679,1,0.846,167,0,0,0,0,0,0,0,0
c3548d8e-c8dd-4eca-82dc-7997bd245a47,frontier,53327,True,303,10.74,78.6,273,1,0.901,70,0,0,0,0,0,0,0,0
